"id","mods.recordInfo.recordContentSource[es]"
49989,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=40619"
52498,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41167"
53817,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41805"
54088,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=28365"
55218,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=30937"
59011,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=44153"
59378,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=36058"
62025,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41808"
62354,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41810"
63534,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43525"
64760,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41811"
65706,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41809"
65830,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43507"
67152,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41806"
67678,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41807"
68669,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41754"
69560,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41756"
70366,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41804"
70930,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=32754"
71484,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41751"
71745,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=41753"
72496,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43504"
72661,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43508"
72751,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=42783"
72964,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43518"
73487,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43524"
75665,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43516"
76551,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43496"
77263,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43502"
78088,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43536"
78370,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43535"
79013,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43528"
80231,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43544"
80585,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43517"
85558,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43539"
92268,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43509"
98189,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43500"
98914,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=42840"
108856,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=43503"
110906,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=42839"
111735,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=42879"
116961,"https://artes.bibliotecas.unlp.edu.ar/cgi-bin/koha/opac-detail.pl?biblionumber=42910"
