valido a la fecha,AUTOR,AÑO,TITULO,SIGNATURA,INVENTARIO,Páginas s/f,Observaciones,Enviado al SEDICI,Devuelto por SEDICI,comentarios,preparadas para envio
7/8/2026,"Calahorra, Guillermo",-1978,Unidad funcional baño,658.5(043) CAL,1893,26,,01/12/2025,19/12/2025,,
7/8/2026,"Campbell, Lorna",-1986,Equipamiento para tienda de modas,658.5(043) CAM,20314,30,,01/12/2025,19/12/2025,,
7/8/2026,"Capeletti, Daniel",(1978/79),Familia de aspiradoras,658.5(043) CAP,16688,17,,01/12/2025,19/12/2025,,
7/8/2026,"Carminatti, Cristina Alicia",-1975,Barredora de plazas y parques,658.5(043) CAR,5645,13,,01/12/2025,19/12/2025,,
7/8/2026,"Cavalli, Jorge Carlos",-1979,Vivienda temporaria para obreros: Informe,658.5(043) CAV,1883,6,,01/12/2025,19/12/2025,,
7/8/2026,"Cédola, Marta Beatriz",(1981?),Dormitorio infantil,658.5(043) CED,17556,67,,01/12/2025,19/12/2025,,
7/8/2026,"Centeleghe, Silvia",(1980?),Sistema de equipamiento para estudio de diseño,658.5(043) CEN,17214,9,,01/12/2025,19/12/2025,,
7/8/2026,"Galán, María Beatriz",-1980,Mesa y asiento para dactilógrafo: Memoria descriptiva,658.5(043) GAL,12004,6,,,,,
7/8/2026,"Garuti, María",-1986,Equipamiento para indumentaria y artículos deportivos:,658.5(043) GAR,20245,7,,,,,
7/8/2026,"García, Raúl Horacio",-1980,Barredora,658.5(043) GARb,16072,13,,,,,
7/8/2026,"Garber, Ricardo César",-1979,Estación de servicio,658.5(043) GARd,16699,53,,,,,
7/8/2026,"García, Viviana Roxana",-1985,Equipamiento para laboratorio de idiomas,658.5(043) GARe,20061,27,,,,,
7/8/2026,"García, Mario R.",-1975,Moto múltiple agrícola,658.5(043) GARm,5776,17,,,,,
7/8/2026,"Garay, Víctor Hugo",-1981,Sistema audiovisual transportable,658.5(043) GARs,17558,13,,,,,
7/8/2026,"Grimozzi, Eduardo",-1984,Sistema de calefacción a leña: Memoria descriptiva,658.5(043) GRI,19945,8,,,,,
7/8/2026,"Heras, Pablo H.",-1986,Equipo para perforaciones,658.5(043) HER,20538,20,,,,,
7/8/2026,"Horvat, Clara",-1981,Equipamiento para aulas de Jardín de Infantes,658.5(043) HOR,17559,32,,,,,
7/8/2026,"Huala, Gustavo A.",(1984/85),Obrador,658.5(043) HUA,2015,19,,,,,
7/8/2026,"Iacono, Claudio",-1988,Interiores de muebles de cocina:,658.5(043) IAC,20756,11,3 planos,,,,
7/8/2026,"Ibarguren, José María",-1988,Gimnasio de rehabilitación: Memoria,658.5(043) IBA,20920,5,,,,,
7/8/2026,"Inda, Guillermo Roberto",-1980,Equipamiento para habitat universitario: Memoria descriptiva,658.5(043) IND,16660,9,,,,,
7/8/2026,"Isatis, Rodolfo",-1984,Vehículo utilitario todo terreno,658.5(043) ISA,20017,17,,,,,
7/8/2026,"Juárez, Luis",-1988,Vehículo playero anfibio: Memorias,658.5(043) JUA,21138,4,6 planos,,,,
7/8/2026,"Jure, Carlos Alberto",-1987,Mobiliario de cocina,658.5(043) JUR,21142,7,7 planos,,,,
7/8/2026,"Kanaskevich, Sergio",-1977,Sistema de equipamiento urbano: Catálogo de posibilidades,658.5(043) KAN,5720,8,15 planos,,,,
7/8/2026,"Kaser, Manfredo",-1977,Balanzas,658.5(043) KAS,2205,33,,,,,
7/8/2026,"Kofman, Alicia Gladys",-1988,Móvil naútico para recreación,658.5(043) KOF,21525,7,4 planos,,,,
7/8/2026,"Kuszek, Elisabet",-1983,Equipamiento para plazas de pueblo con juegos para niños,658.5(043) KUS,19280,20,,,,,
7/8/2026,"Lamberti, Néstor",-1978,Conjunto de apartatos para bar lácteo,658.5(043) LAM,5660,18,,,,,
7/8/2026,"Lanzavecchia, Pablo Fabián",-1988,Cocina integral,658.5(043) LAN,21147,4,3 planos,,,,
7/8/2026,"Lascano, Patricia Elet",-1980,Equipamiento de playa,658.5(043) LAS,16720,31,fotos,,,,
7/8/2026,"Lasalde, Héctor Luis",-1989,Motocicleta: Memoria,658.5(043) LASm,20974,17,fotos,,,,
7/8/2026,"Legaria, Hugo",-1979,Sistema de equipamiento de oficinas,658.5(043) LEG,16700,32,fotos,,,,
7/8/2026,"Llanos, Raquel Edith",-1988,Interiores de placards,658.5(043) LLA,20869,14,8 planos,,,,
7/8/2026,"Llanos, Raquel Edith",-1988,Escalera para el hogar,658.5(043) LLAe,20868,19,3 planos,,,,
7/8/2026,"Lunelli, Luis Alberto",-1986,Camión larga distancia,658.5(043) LUN,20321,15,,,,,
7/8/2026,"Luoni, Verónica Jorgelina",-1977,Sistema audiovisual,658.5(043) LUO,5763,26,fotos,,,,
7/8/2026,"Malleret, Jorge Hernán",-1986,Ómnibus de larga distancia,658.5(043) MAL,20319,49,13 planos,,,,
7/8/2026,"Malano, Hugo A.",-1982,Movícola. Unidad móvil de mantenimiento avícola: Memoria descriptiva,658.5(043) MALm,18996,21,,,,,
7/8/2026,"Marín, Luis Leopoldo",-1977,Unidad audiovisual,658.5(043) MAR,5489,29,11 planos,,,,
7/8/2026,"Martínez, Liliana",-1986,Aparatos y soportes para laboratorios: Memoria,658.5(043) MARa,20426,31,fotos,,,,
7/8/2026,"Martínez Conte, Domingo",-1987,Máquina cortadora de césped: Memoria,658.5(043) MARm,20765,10,9 planos,,,,
7/8/2026,"Massigoge, Guillermo",-1977,Unidad hospitalaria,658.5(043) MAS,5852,20,,,,,
7/8/2026,"Mathov, Carlos",-1988,Unidad de cocina,658.5(043) MAT,20956,44,10 fotos,,,,
7/8/2026,"Monastra, Mario Vicente",(1981?),Unidad móvil de servicios automóviles,658.5(043) MON,16722,40,,,,,
7/8/2026,"Monsech, Luis Alberto",-1987,Sillón geriátrico: Informe final,658.5(043) MONs,20779,15,,,,,
7/8/2026,"Olavarría, Martín",-1985,Sistema de calefacción,658.5(043) OLA,20058,12,2 planos,,,,
7/8/2026,"Oré González, Daniel S.",-1977,Silla de ruedas,658.5(043) ORE,5662,6,,,,,
7/8/2026,"Ortega, Claudia I.",-1982,Móvil para vivir de viaje,658.5(043) ORT,18999,18,,,,,
7/8/2026,"Ortega, Patricia",-1986,Mobiliario para jardín de infantes,658.5(043) ORTm,20315,9,2 planos,,,,
7/8/2026,"Otero, Lilian Noemí",-1983,Calesita,658.5(043) OTE,19531,14,,,,,
7/8/2026,"Ottaviano, Orlando Manuel",(1981?),Vehículo para taxi: secuencia de armado,658.5(043) OTT,16669,17,,,,,
7/8/2026,"Pollak, Juan Pablo",-1988,Cocina con espacio reducido,658.5(043) POLc,21036,7,9 planos,,,,
7/8/2026,"Pollak, Juan Pablo",-1988,Vehículo acuático de recreación:,658.5(043) POLv,21037,,3 planos,,,,
7/8/2026,"Portillo, Ricardo Salvador",-1978,Zorra de ferrocarril: Informe,658.5(043) POR,1900,14,,,,,
7/8/2026,"Pose, Eduardo Alejandro",-1977,Motocicletas de carga,658.5(043) POS T.1 y T.2,5496,31,22 planos,,,,
