id_document1,id_document2,rules,similarity
10915/118186,None,None,NO_DUPLICATE
10915/118951,None,None,NO_DUPLICATE
10915/120423,None,None,NO_DUPLICATE
10915/125276,None,None,NO_DUPLICATE
10915/126311,None,None,NO_DUPLICATE
10915/127259,None,None,NO_DUPLICATE
10915/128876,None,None,NO_DUPLICATE
10915/129264,None,None,NO_DUPLICATE
10915/162960,None,None,NO_DUPLICATE
10915/130126, | 42957, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/135405,None,None,NO_DUPLICATE
10915/135565,None,None,NO_DUPLICATE
10915/135567,None,None,NO_DUPLICATE
10915/138782,None,None,NO_DUPLICATE
10915/139809,None,None,NO_DUPLICATE
10915/140681,None,None,NO_DUPLICATE
10915/140848,None,None,NO_DUPLICATE
10915/143212,None,None,NO_DUPLICATE
10915/143216,None,None,NO_DUPLICATE
10915/143218,None,None,NO_DUPLICATE
10915/143222,None,None,NO_DUPLICATE
10915/143229,None,None,NO_DUPLICATE
10915/143232,None,None,NO_DUPLICATE
10915/145139,None,None,NO_DUPLICATE
10915/147735,None,None,NO_DUPLICATE
10915/147739,None,None,NO_DUPLICATE
10915/149095,None,None,NO_DUPLICATE
10915/150748,None,None,NO_DUPLICATE
10915/154452,None,None,NO_DUPLICATE
10915/154453,None,None,NO_DUPLICATE
10915/155412,None,None,NO_DUPLICATE
10915/155902,None,None,NO_DUPLICATE
10915/158962,None,None,NO_DUPLICATE
10915/159466,None,None,NO_DUPLICATE
10915/160534,None,None,NO_DUPLICATE
10915/160535,None,None,NO_DUPLICATE
10915/160536,None,None,NO_DUPLICATE
10915/160537,None,None,NO_DUPLICATE
10915/160538,None,None,NO_DUPLICATE
10915/160539,None,None,NO_DUPLICATE
10915/160540,None,None,NO_DUPLICATE
10915/160541,None,None,NO_DUPLICATE
10915/160542,None,None,NO_DUPLICATE
10915/160543,None,None,NO_DUPLICATE
10915/160544,None,None,NO_DUPLICATE
10915/160545,None,None,NO_DUPLICATE
10915/160546,None,None,NO_DUPLICATE
10915/160547,None,None,NO_DUPLICATE
10915/160548,None,None,NO_DUPLICATE
10915/160549,None,None,NO_DUPLICATE
10915/160550,None,None,NO_DUPLICATE
10915/160551,None,None,NO_DUPLICATE
10915/160552,None,None,NO_DUPLICATE
10915/160553,None,None,NO_DUPLICATE
10915/160554,None,None,NO_DUPLICATE
10915/160555,None,None,NO_DUPLICATE
10915/160556,None,None,NO_DUPLICATE
10915/160557,None,None,NO_DUPLICATE
10915/160558,None,None,NO_DUPLICATE
10915/160559,None,None,NO_DUPLICATE
10915/160560,None,None,NO_DUPLICATE
10915/160561,None,None,NO_DUPLICATE
10915/160562,None,None,NO_DUPLICATE
10915/160563,None,None,NO_DUPLICATE
10915/160564,None,None,NO_DUPLICATE
10915/160565,None,None,NO_DUPLICATE
10915/160566,None,None,NO_DUPLICATE
10915/160567,None,None,NO_DUPLICATE
10915/160568,None,None,NO_DUPLICATE
10915/160569,None,None,NO_DUPLICATE
10915/160570,None,None,NO_DUPLICATE
10915/160571,None,None,NO_DUPLICATE
10915/160572,None,None,NO_DUPLICATE
10915/160573,None,None,NO_DUPLICATE
10915/160574,None,None,NO_DUPLICATE
10915/160575,None,None,NO_DUPLICATE
10915/160576,None,None,NO_DUPLICATE
10915/160577,None,None,NO_DUPLICATE
10915/160578,None,None,NO_DUPLICATE
10915/160579,None,None,NO_DUPLICATE
10915/160580,None,None,NO_DUPLICATE
10915/160581,None,None,NO_DUPLICATE
10915/160582,None,None,NO_DUPLICATE
10915/160583,None,None,NO_DUPLICATE
10915/160584,None,None,NO_DUPLICATE
10915/160585,None,None,NO_DUPLICATE
10915/160586,None,None,NO_DUPLICATE
10915/160587,None,None,NO_DUPLICATE
10915/160588,None,None,NO_DUPLICATE
10915/160589,None,None,NO_DUPLICATE
10915/160590,None,None,NO_DUPLICATE
10915/160591,None,None,NO_DUPLICATE
10915/160592,None,None,NO_DUPLICATE
10915/160593,None,None,NO_DUPLICATE
10915/160594,None,None,NO_DUPLICATE
10915/160595,None,None,NO_DUPLICATE
10915/160596,None,None,NO_DUPLICATE
10915/160597,None,None,NO_DUPLICATE
10915/160598,None,None,NO_DUPLICATE
10915/160599,None,None,NO_DUPLICATE
10915/160600,None,None,NO_DUPLICATE
10915/160601,None,None,NO_DUPLICATE
10915/160602,None,None,NO_DUPLICATE
10915/160603,None,None,NO_DUPLICATE
10915/160604,None,None,NO_DUPLICATE
10915/160605,None,None,NO_DUPLICATE
10915/160606,None,None,NO_DUPLICATE
10915/160607,None,None,NO_DUPLICATE
10915/160608,None,None,NO_DUPLICATE
10915/160609,None,None,NO_DUPLICATE
10915/160610,None,None,NO_DUPLICATE
10915/160611,None,None,NO_DUPLICATE
10915/160612,None,None,NO_DUPLICATE
10915/160613,None,None,NO_DUPLICATE
10915/160614,None,None,NO_DUPLICATE
10915/160615,None,None,NO_DUPLICATE
10915/160616,None,None,NO_DUPLICATE
10915/160617,None,None,NO_DUPLICATE
10915/160618,None,None,NO_DUPLICATE
10915/160619,None,None,NO_DUPLICATE
10915/160620,None,None,NO_DUPLICATE
10915/160621,None,None,NO_DUPLICATE
10915/160622,None,None,NO_DUPLICATE
10915/160623,None,None,NO_DUPLICATE
10915/160624,None,None,NO_DUPLICATE
10915/160625,None,None,NO_DUPLICATE
10915/160626,None,None,NO_DUPLICATE
10915/160627,None,None,NO_DUPLICATE
10915/160628,None,None,NO_DUPLICATE
10915/160629,None,None,NO_DUPLICATE
10915/160630,None,None,NO_DUPLICATE
10915/160631,None,None,NO_DUPLICATE
10915/160632,None,None,NO_DUPLICATE
10915/160633,None,None,NO_DUPLICATE
10915/160634,None,None,NO_DUPLICATE
10915/160635,None,None,NO_DUPLICATE
10915/160636,None,None,NO_DUPLICATE
10915/160637,None,None,NO_DUPLICATE
10915/160638,None,None,NO_DUPLICATE
10915/160639,None,None,NO_DUPLICATE
10915/160640,None,None,NO_DUPLICATE
10915/160641,None,None,NO_DUPLICATE
10915/160642,None,None,NO_DUPLICATE
10915/160643,None,None,NO_DUPLICATE
10915/160644,None,None,NO_DUPLICATE
10915/160645,None,None,NO_DUPLICATE
10915/160646,None,None,NO_DUPLICATE
10915/160648,None,None,NO_DUPLICATE
10915/160649,None,None,NO_DUPLICATE
10915/160650,None,None,NO_DUPLICATE
10915/160651,None,None,NO_DUPLICATE
10915/160652,None,None,NO_DUPLICATE
10915/160653,None,None,NO_DUPLICATE
10915/160654,None,None,NO_DUPLICATE
10915/160655,None,None,NO_DUPLICATE
10915/160656,None,None,NO_DUPLICATE
10915/160657,None,None,NO_DUPLICATE
10915/160658,None,None,NO_DUPLICATE
10915/160659,None,None,NO_DUPLICATE
10915/160660,None,None,NO_DUPLICATE
10915/160661,None,None,NO_DUPLICATE
10915/160662,None,None,NO_DUPLICATE
10915/160663,None,None,NO_DUPLICATE
10915/160664,None,None,NO_DUPLICATE
10915/160665,None,None,NO_DUPLICATE
10915/160666,None,None,NO_DUPLICATE
10915/160667,None,None,NO_DUPLICATE
10915/160668,None,None,NO_DUPLICATE
10915/160669,None,None,NO_DUPLICATE
10915/160670,None,None,NO_DUPLICATE
10915/160671,None,None,NO_DUPLICATE
10915/160672,None,None,NO_DUPLICATE
10915/160673,None,None,NO_DUPLICATE
10915/160674,None,None,NO_DUPLICATE
10915/160675,None,None,NO_DUPLICATE
10915/160676,None,None,NO_DUPLICATE
10915/160677,None,None,NO_DUPLICATE
10915/160678,None,None,NO_DUPLICATE
10915/160679,None,None,NO_DUPLICATE
10915/160680,None,None,NO_DUPLICATE
10915/160681,None,None,NO_DUPLICATE
10915/160682,None,None,NO_DUPLICATE
10915/160683,None,None,NO_DUPLICATE
10915/160684,None,None,NO_DUPLICATE
10915/160685,None,None,NO_DUPLICATE
10915/160686,None,None,NO_DUPLICATE
10915/160687,None,None,NO_DUPLICATE
10915/160688,None,None,NO_DUPLICATE
10915/160689,None,None,NO_DUPLICATE
10915/160690,None,None,NO_DUPLICATE
10915/160691,None,None,NO_DUPLICATE
10915/160692,None,None,NO_DUPLICATE
10915/160693,None,None,NO_DUPLICATE
10915/160694,None,None,NO_DUPLICATE
10915/160695,None,None,NO_DUPLICATE
10915/160696,None,None,NO_DUPLICATE
10915/160697,None,None,NO_DUPLICATE
10915/160698,None,None,NO_DUPLICATE
10915/160699,None,None,NO_DUPLICATE
10915/160700,None,None,NO_DUPLICATE
10915/160701,None,None,NO_DUPLICATE
10915/160702,None,None,NO_DUPLICATE
10915/160703,None,None,NO_DUPLICATE
10915/160704,None,None,NO_DUPLICATE
10915/160705,None,None,NO_DUPLICATE
10915/160706,None,None,NO_DUPLICATE
10915/160707,None,None,NO_DUPLICATE
10915/160708,None,None,NO_DUPLICATE
10915/160709,None,None,NO_DUPLICATE
10915/160710,None,None,NO_DUPLICATE
10915/160711,None,None,NO_DUPLICATE
10915/160712,None,None,NO_DUPLICATE
10915/160713,None,None,NO_DUPLICATE
10915/160714,None,None,NO_DUPLICATE
10915/160715,None,None,NO_DUPLICATE
10915/160716,None,None,NO_DUPLICATE
10915/160717,None,None,NO_DUPLICATE
10915/160718,None,None,NO_DUPLICATE
10915/160719,None,None,NO_DUPLICATE
10915/160720,None,None,NO_DUPLICATE
10915/160721,None,None,NO_DUPLICATE
10915/160722,None,None,NO_DUPLICATE
10915/160723,None,None,NO_DUPLICATE
10915/160724,None,None,NO_DUPLICATE
10915/160725,None,None,NO_DUPLICATE
10915/160726,None,None,NO_DUPLICATE
10915/160727,None,None,NO_DUPLICATE
10915/160728,None,None,NO_DUPLICATE
10915/160729,None,None,NO_DUPLICATE
10915/160730,None,None,NO_DUPLICATE
10915/160731,None,None,NO_DUPLICATE
10915/160732,None,None,NO_DUPLICATE
10915/160733,None,None,NO_DUPLICATE
10915/160734,None,None,NO_DUPLICATE
10915/160735,None,None,NO_DUPLICATE
10915/160736,None,None,NO_DUPLICATE
10915/160737,None,None,NO_DUPLICATE
10915/160738,None,None,NO_DUPLICATE
10915/160739,None,None,NO_DUPLICATE
10915/160740,None,None,NO_DUPLICATE
10915/160741,None,None,NO_DUPLICATE
10915/160742,None,None,NO_DUPLICATE
10915/160743,None,None,NO_DUPLICATE
10915/160744,None,None,NO_DUPLICATE
10915/160745,None,None,NO_DUPLICATE
10915/160746,None,None,NO_DUPLICATE
10915/160747,None,None,NO_DUPLICATE
10915/160748,None,None,NO_DUPLICATE
10915/160749,None,None,NO_DUPLICATE
10915/160750,None,None,NO_DUPLICATE
10915/160751,None,None,NO_DUPLICATE
10915/160752,None,None,NO_DUPLICATE
10915/160753,None,None,NO_DUPLICATE
10915/160754,None,None,NO_DUPLICATE
10915/160755,None,None,NO_DUPLICATE
10915/160756,None,None,NO_DUPLICATE
10915/160757,None,None,NO_DUPLICATE
10915/160758,None,None,NO_DUPLICATE
10915/160759,None,None,NO_DUPLICATE
10915/160760,None,None,NO_DUPLICATE
10915/160761,None,None,NO_DUPLICATE
10915/160762,None,None,NO_DUPLICATE
10915/160763,None,None,NO_DUPLICATE
10915/160764,None,None,NO_DUPLICATE
10915/160765,None,None,NO_DUPLICATE
10915/160766,None,None,NO_DUPLICATE
10915/160767,None,None,NO_DUPLICATE
10915/160768,None,None,NO_DUPLICATE
10915/160769,None,None,NO_DUPLICATE
10915/160770,None,None,NO_DUPLICATE
10915/160771,None,None,NO_DUPLICATE
10915/160772,None,None,NO_DUPLICATE
10915/160773,None,None,NO_DUPLICATE
10915/161016,None,None,NO_DUPLICATE
10915/162468,None,None,NO_DUPLICATE
10915/162903,None,None,NO_DUPLICATE
10915/164535,None,None,NO_DUPLICATE
10915/164552,None,None,NO_DUPLICATE
10915/165364,None,None,NO_DUPLICATE
10915/165682,None,None,NO_DUPLICATE
10915/166081,None,None,NO_DUPLICATE
