id_koha,titulo,autor,anio_publicacion,tipo_tesis,institucion,anio_titulo
43506,"Contribuciones a la enseñanza de la Plástica Visual en el nivel inicial :","Moller, Yesica V",,"Especialización en Lenguajes Artísticos.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
43204,"Copas-vasos :","Bongiovanni, C",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
32689,"Corregidor Hotel. Identidad de empresas","Cobas, María Dolores",,,,
43102,"Creación de un sistema de marcas para empresas de transportes estatales","Vecchi, José Luis",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1981
32780,"Creación de una variedad de Citrus Reticulata (mandarina) :","Larsen, Gustavo Alfredo",,,,
32544,"Cuándo hay arte? :","Moyinedo, Sergio",,,,
43170,"Cubículo de dibujo","Vuoto, Luis",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
43182,Cubiertos,"Daiez, Fabián",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1987
32878,"Cuentos fantásticos","Ricetti, Adriana",,,,
43568,"Cuerpo de barro",,,"Licenciatura en Artes Plásticas .","Universidad Nacional de La Plata. Facultad de Artes",2022
43536,"Cumbia argentina: un análisis de las funciones rítmicas de la güira dominicana en el género en Buenos Aires de 2005 a 2015","Gómez Dip, Jonás",,"Licenciatura en Música (orientación Música Popular).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
32658,"Davantage, empresa cosmetológica","Añamuro, María Virginia",,,,
39694,"De los realismos cinematográficos :","Bejarano Peterson, Camila",,,,
32716,"Del plano al relieve","Nuvoloso, Graciela Ernestina",,,,
32778,"Desarrollo de las formas vegetales","Corriente, Adriana Luisa",,,,
42555,"Descripción vehículo de emergencias especiales","Asato, Daniel",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
32723,"Diagramación y sistematización de una colección de libros. Leyendas argentinas. República de los Niños","Etchart, Marina Cecilia",,,,
41754,"Diálogos con la luz :","Jones, Carlos",,,,
32795,"Difusión de la República de los niños","López, Mario",,,,
43135,"Dirección de turismo y deportes, ciudad de Chascomús","Alí, Cecilia",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1991
32800,"Diseño de identidad de una línea de cosmética natural","Gutiérrez, Laura Beatríz",,,,
32980,"Diseño de imágen de empresa y aplicaciones de Cartonex S.A.","Osores, Octavio Darío",,,,
32722,"Diseño de revista","Fritzler, Marina I",,,,
32807,"Diseño de un diario para la ciudad de La Plata","Jalo, Patricia S",,,,
32886,"Diseño de un equipo de material didáctico; con aplicación de un código de signos gráficos para la enseñanza de disminuídos visuales","Perri, Carla M",,,,
32806,"Diseño de una campaña de relanzamiento de galletitas dulces para la empresa Pallasa y Cía.","Constantino, Flavia",,,,
32690,"Diseño editorial ; diseño de un diario  :","Zuppa, Omar",,,,
32890,"Diseño y diagramación de libros. República de los niños","Porta, Laura",,,,
43194,"Dormitorio infantil","Cédola, Marta Beatriz",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1981?
43203,"Drago :","Alcorta, Julio Roberto",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1977
32841,Editorial,"Gluzmann, Mariela",,,,
32613,"Editorial Colihue","Ayllon, Julieta",,,,
43136,"Editorial Manuel Kapleusz","Tellechea, Susana",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1991
32672,"Editorial Revista Barcos","Cadario, Juan Pablo",,,,
32928,"Educación vial para niños. Paneles educativos.","Silva, M",,,,
32657,"El arte cerámico en las culturas :","Ferro, Lía Stella Maris",,,,
32504,"El arte platense :","Altamirano, Ana María",,,,
32505,"El arte platense :","Tagliaferri de Faiella, Elida",,,,
32506,"El arte platense :","Quinciana Gustavino, María Mercedes",,,,
32643,"El buen vasco. Imágen institucional","Berman, Héctor M",,,,
41804,"El Candidato y la Vecindad :","Cicowiez, Mariano",,"Maestría en Estética y Teoría de las Artes.","Facultad de Bellas Artes. UNLP",2017
43093,"El coro de niños en concierto :","Guerrero, Valentina",,"Licenciatura en Música (orientación Dirección Coral).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2015
32584,"El coro en la escuela secundaria","Duncan Bennett, Roberto Alphonso",,,,
